"Table 4: Drug-related deaths by sex and age, Scotland, 1996-2016",,,,,,,,,,,,,,,,,,Back to contents,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drug-related deaths,,Sex,,,Age-group 1,,,,,,,,Age,,,,,,,,,,
,,,Male,Female,,14 and under,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 and over,,Lower quartile,Median,Upper quartile,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
annual averages:,,,,,,,,,,,,,,,,,,,,,,,,
1996-2000,260,,207,53,,83,,108,46,12,10,,,..,..,..,,,,,,,,
2002-2006,362,,292,71,,0,75,134,104,35,9,6,,..,..,..,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1996,244,,185,59,,86,,103,32,13,10,,,22,28,34,,,,,,,,
1997,224,,179,45,,76,,89,31,14,14,,,23,29,35,,,,,,,,
1998,249,,194,55,,88,,103,37,9,12,,,23,27,34,,,,,,,,
1999,291,,237,54,,94,,118,62,10,7,,,23,28,35,,,,,,,,
2000,292,,239,53,,0,73,126,69,16,3,5,,25,30,36,,,,,,,,
2001,332,,267,65,,1,79,140,70,31,8,4,,25,31,38,,,,,,,,
2002,382,,321,61,,0,100,153,92,27,7,3,,24,30,37,,,,,,,,
2003,317,,256,61,,0,78,123,81,20,11,6,,25,31,37,,,,,,,,
2004,356,,289,67,,0,81,138,92,35,2,8,,25,31,38,,,,,,,,
2005,336,,259,77,,1,47,104,126,37,11,10,,28,36,41,,,,,,,,
2006,421,,334,87,,0,69,154,127,54,15,1,,27,34,40,,,,,,,,
2007,455,,393,62,,0,94,149,149,45,11,7,,26,34,41,,,,,,,,
2008,574,,461,113,,0,92,211,174,71,17,9,,27,34,41,,,,,,,,
2009,545,,413,132,,2,69,178,189,78,20,9,,28,35,43,,,,,,,,
2010,485,,363,122,,0,65,161,158,76,20,5,,28,35,43,,,,,,,,
2011,584,,429,155,,0,58,184,212,94,26,10,,30,37,43,,,,,,,,
2012,581,,416,165,,0,46,171,199,115,34,16,,31,38,46,,,,,,,,
2013,527,,393,134,,0,32,138,184,125,39,9,,32,40,47,,,,,,,,
2014,614,,453,161,,1,46,157,213,148,37,12,,32,40,47,,,,,,,,
2015,706,,484,222,,0,30,163,249,183,61,20,,34,41,49,,,,,,,,
2016,867,,592,275,,0,42,199,327,213,66,20,,34,41,47,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-2016 average,659,,468,191,,0,39,166,234,157,47,15,,..,..,..,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Males,,,,,,,,,Females,,,,,,,,,,,,,,
,All ages,,24 and under,25 - 34,,35 - 44,45 - 54,55 and over,,All ages,24 and under,25 - 34,,35 - 44,45 - 54,55 and over,,,,,,,,
2002-2006 average,292,,64,113,,82,24,9,,71,11,22,,21,10,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2000,239,,58,104,,60,12,5,,53,15,22,,9,4,3,,,,,,,,
2001,267,,65,115,,58,24,5,,66,15,25,,12,7,7,,,,,,,,
2002,321,,85,131,,78,21,6,,61,15,22,,14,6,4,,,,,,,,
2003,256,,65,106,,64,11,11,,61,13,17,,17,9,6,,,,,,,,
2004,289,,72,114,,75,24,4,,67,9,24,,17,11,6,,,,,,,,
2005,259,,36,89,,98,26,10,,77,12,15,,28,11,11,,,,,,,,
2006,334,,61,123,,97,40,12,,87,8,31,,30,14,4,,,,,,,,
2007,393,,80,138,,125,39,11,,62,14,11,,24,6,7,,,,,,,,
2008,461,,68,178,,145,56,14,,113,24,33,,29,15,12,,,,,,,,
2009,413,,52,136,,146,56,23,,132,19,42,,43,22,6,,,,,,,,
2010,363,,49,124,,126,50,14,,122,16,37,,32,26,11,,,,,,,,
2011,429,,47,144,,160,59,19,,155,11,40,,52,35,17,,,,,,,,
2012,416,,33,136,,148,72,27,,165,13,35,,51,43,23,,,,,,,,
2013,393,,28,107,,141,87,30,,134,4,31,,43,38,18,,,,,,,,
2014,453,,37,117,,161,110,28,,161,10,40,,52,38,21,,,,,,,,
2015,484,,24,118,,170,122,50,,222,6,45,,79,61,31,,,,,,,,
2016,592,,25,151,,237,131,48,,275,17,48,,90,82,38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2012-2016 average,468,,29,126,,171,104,37,,191,10,40,,63,52,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,
"1) For 2001, 2003 and 2006, there are differences of one or two between the overall total for the year and the sum of the figures for the individual age-groups. This is due to the use of a new database - further information can be found in Annex A, paragraph A4.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2017,,,,,,,,,,,,,,,,,,,,,,,,
