"","year","Gender","Age","num_offenders","num_reconvicted","num_reconvictions","total","age_str","prev","freq","pop_agestr"
"1",2007,"Female","21 to 25",1712,524,1080,53044,0.0322750923761406,0.30607476635514,0.630841121495327,0.0265137330754352
"2",2007,"Female","26 to 30",1415,433,798,53044,0.0266759671216349,0.306007067137809,0.563957597173145,0.0308166344294004
"3",2007,"Female","31 to 40",2235,562,966,53044,0.0421348314606742,0.251454138702461,0.432214765100671,0.0712653771760155
"4",2007,"Female","over 40",1579,275,439,53044,0.0297677399894427,0.174160861304623,0.278024065864471,0.262632108317215
"5",2007,"Female","under 21",1727,498,920,53044,0.0325578764799035,0.288361320208454,0.532715691951361,0.125878723404255
"6",2007,"Male","21 to 25",9424,3292,5936,53044,0.177663826257447,0.349320882852292,0.629881154499151,0.0258698259187621
"7",2007,"Male","26 to 30",6837,2337,4374,53044,0.128892994495136,0.341816586222027,0.63975427819219,0.0303363636363636
"8",2007,"Male","31 to 40",9961,2922,5282,53044,0.187787497172159,0.293344041762875,0.53026804537697,0.0669713733075435
"9",2007,"Male","over 40",7478,1492,2570,53044,0.140977301862605,0.199518587857716,0.343674779352768,0.229049516441006
"10",2007,"Male","under 21",10676,4237,8020,53044,0.201266872784858,0.396871487448483,0.75121768452604,0.130666344294004
"11",2014,"Female","21 to 25",1178,288,544,43614,0.0270096757921768,0.244482173174873,0.461799660441426,0.0281389782332261
"12",2014,"Female","26 to 30",1266,338,638,43614,0.0290273765304719,0.266982622432859,0.503949447077409,0.0334222828932605
"13",2014,"Female","31 to 40",2161,584,1166,43614,0.0495483101756317,0.270245256825544,0.539565016196205,0.0625643279228065
"14",2014,"Female","over 40",2102,373,644,43614,0.0481955335442748,0.177450047573739,0.306374881065652,0.271006806791832
"15",2014,"Female","under 21",770,186,381,43614,0.0176548814600816,0.241558441558442,0.494805194805195,0.119317076819508
"16",2014,"Male","21 to 25",6945,2125,3609,43614,0.159237859402944,0.305975521958243,0.519654427645788,0.0279067245119306
"17",2014,"Male","26 to 30",6188,1908,3327,43614,0.141881047370111,0.308338720103426,0.537653522947641,0.0324979430024684
"18",2014,"Male","31 to 40",9371,2927,5367,43614,0.214862200210941,0.312346601216519,0.572724362394622,0.0601346398384322
"19",2014,"Male","over 40",9252,1999,3398,43614,0.212133718530747,0.216061392131431,0.367271941201902,0.240773057072332
"20",2014,"Male","under 21",4381,1642,2964,43614,0.10044939698262,0.374800273910066,0.676557863501484,0.124238162914205
